record_id,source_row_number,use_case,source_system_s,source_table_name_structured_location_for_unstructured_data,source_field_name,btp_schema_name,btp_table_name,btp_field_name,description,datatype,date_added_modified,reviewed_by_data_chapter,remarks
staging_schema_logs:000001,2,,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,CAL_DATE,,DECIMAL,,,
staging_schema_logs:000002,3,,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,DATE_FILTER,,NVARCHAR,,,
staging_schema_logs:000003,4,,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,DATE_FILTER_DESC,,NVARCHAR,,,
staging_schema_logs:000004,5,,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,DATE_TYPE,,NVARCHAR,,,
staging_schema_logs:000005,6,,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,FILTER_GROUP,,NVARCHAR,,,
staging_schema_logs:000006,7,,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,FILTER_TYPE,,NVARCHAR,,,
staging_schema_logs:000007,8,,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,FLAG,,DECIMAL,,,
staging_schema_logs:000008,9,,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,LTR_DATE,,DECIMAL,,,
staging_schema_logs:000009,10,,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,TIME_FILTER_DESC,,NVARCHAR,,,
staging_schema_logs:000010,11,,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,TYPE,,DECIMAL,,,
staging_schema_logs:000011,12,,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,CAL_DATE,,DECIMAL,,,
staging_schema_logs:000012,13,,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,CONTEXT,,DECIMAL,,,
staging_schema_logs:000013,14,,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,DATEKEY,,DECIMAL,,,
staging_schema_logs:000014,15,,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,SOURCE_TABLE,,NVARCHAR,,,
staging_schema_logs:000015,16,,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,STATUS,,NVARCHAR,,,
staging_schema_logs:000016,17,,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,TRANSFORM_TIME_STAMP,,TIMESTAMP,,,
staging_schema_logs:000017,18,,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,TYPE,,DECIMAL,,,
staging_schema_logs:000018,19,,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,ACTIVE_FLAG,,INTEGER,,,
staging_schema_logs:000019,20,,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,ARCHIVAL_TABLE,,NVARCHAR,,,
staging_schema_logs:000020,21,,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,CONFIG_ID,,INTEGER,,,
staging_schema_logs:000021,22,,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,GROUP_ID,,NVARCHAR,,,
staging_schema_logs:000022,23,,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,LOAD_TYPE,,NVARCHAR,,,
staging_schema_logs:000023,24,,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,ORACLE_TABLE,,NVARCHAR,,,
staging_schema_logs:000024,25,,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,PROJECT,,NVARCHAR,,,
staging_schema_logs:000025,26,,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,SRC_TABLE,,NVARCHAR,,,
staging_schema_logs:000026,27,,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,TAR_TABLE,,NVARCHAR,,,
staging_schema_logs:000027,28,,,,,STG_BCRS,SC_STAGE_LOG,FUNCTION,,NVARCHAR,,,
