,Count of Variances,0,,,,,PL Threshold,,3000000,,,,,,
,Comments to be updated,0,,,,,,,0.1,,,,,,
,,,,,,,,,,,,,,,
,Sum of USD,,,Period,,,,,,,,,,,
,BS,IFRS Pack Sch Description,IFRS Line Item / General Ref,Nov'25,Oct'25,Variance,%,Conditions,Comments required,Commentaries,,,,,
,PL,Analysis of Divends Paid & Declared,Dividend Paid,18656795.876182906,20794765.745785523,-2137969.869602617,-0.10281288549912708,False,Variance does not exceed $3M,Immaterial variance,Balaji,,,,
,,Analysis of Divends Paid & Declared Total,,18656795.876182906,20794765.745785523,-2137969.869602617,-0.10281288549912708,,,,#N/A,,,,
,,Analysis of Net Trading Income,Debt Securities - Mandtytrdg,-68541.5574590311,-85401.3845266329,16859.8270676018,-0.19741866201646846,False,Variance does not exceed $3M,Immaterial variance,Vinay/Harish,,,,
,,,Designated at Fair Value Liabs,4720432.762290668,-39636627.90205755,44357060.664348215,-1.119092693100808,True,Variance exceeds $3M and 10%,"Movement majorly driven by : 

1.Decrase in gains of T2 Issuances and Corporate Treasury issuances $44m and  decrease in gain in Interest Rate Derivatives $37m offset by
2. Gain in FX Derivatives $(24",Vinay/Harish,,,,
,,,Fair Value Hedge Adj-Asst/Liab,3922680.886312928,7798044.681751168,-3875363.7954382403,-0.4969660926036101,True,Variance exceeds $3M and 10%,,Vinay/Harish,,,,
,,,Fair Value Hedge Derivatives,-6079300.212858718,-6825167.900775591,745867.687916873,-0.1092819544896639,False,Variance does not exceed $3M,,Rajesh,,,,
,,,G/L-Trdng Instrument-Ex Reval,-5965812.924114585,1401821.4370873664,-7367634.361201951,-5.2557580917795415,True,Variance exceeds $3M and 10%,,Vinay/Harish,,,,
,,,G/L-Trdng Instrument-FX Deriv,-45782530.43392426,-23972109.854881097,-21810420.57904316,0.9098248218899355,True,Variance exceeds $3M and 10%,,Vinay/Harish,,,,
,,,G/L-Trdng Instrument-Trdg Sec,174874077.5728977,-31050613.260688443,205924690.83358616,-6.631904146456799,True,Variance exceeds $3M and 10%,,Vinay/Harish,,,,
,,,G/L-Trdng Instrumt-IRD/CRD/OTH,-408530663.9486572,187582359.7205306,-596113023.6691878,-3.1778735727458924,True,Variance exceeds $3M and 10%,,Vinay/Harish,,,,
,,,Loans and Advances ( Banks & Customers) - Mandtytrdg,-55781216.93124407,-58031409.280174345,2250192.348930277,-0.038775421394066076,False,Variance does not exceed $3M,,Yellore Rammurthy,,,,
,,,Mvmt on MTM-Trdg Assets/Liabs,330956352.6145718,-288952564.4189475,619908917.0335193,-2.1453656875483675,True,Variance exceeds $3M and 10%,,Vinay/Harish,,,,
,,,P/L-Disposal-Trdg Assets/Liabs,-254437801.48359957,-51279611.39285943,-203158190.09074014,3.9617731993778227,True,Variance exceeds $3M and 10%,,Vinay/Harish,,,,
,,,Inter Group Inc/Exp Alloc Net,13084923.810684009,-43552283.674123175,56637207.484807186,-1.3004417382241311,True,Variance exceeds $3M and 10%,This is group balance & hence excluded.,Vinay/Harish,,,,
,,Analysis of Net Trading Income Total,,-249087399.84510034,-346603563.2296647,97516163.38456434,-0.2813478386543553,True,,,#N/A,,,,
