Requester,Requester,Requester,Requester,Requester,Requester,Requester,Requester,Requester,Data Chapter,Data Chapter / Delivery Squad,Requester / BTP Tech,Requester / BTP Tech,Requester / Upstream Tech,Requester / Upstream Tech,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,Do Not Use - To be Deleted,Requester + Upstream Tech,Requester,Requester,Requester,Requester,Requester,BTP Tech,BTP Tech,BTP Tech,BTP Tech,Requester,Requester,Requester,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,,,,,
Mandatory,Mandatory - must be same as in Data Ingestion Roadmap,Mandatory - must be same as in Data Ingestion Roadmap,Mandatory - must be same as in Data Ingestion Roadmap,Mandatory - must be same as in Data Ingestion Roadmap,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory if Techincal Debt = Yes,Mandatory,Mandatory,Mandatory,"Mandatory - Possible values are remote table, feed (csv, xml, etc.), API etc.",Do Not Use - To be Deleted,Logic to be used to extract the data from source.  Needed so that can understand the size of the feed,"Mandatory
The moment in time represented by the data.  It's about content inclusion, not pipeline timing.  Even if you load it later, the cut does not change.  E.g. 'Data that falls into prior month categorisation'","Mandatory
The date and time and time zone by when data should be available for consumption from Pre-Processing Layer","Mandatory
How frequently and on which days the feed from source to Staging must occur e.g. 'In Apr, Jul, Oct, Jan at 23:59 on Business Days 10, 13, 18, and 20'","Mandatory
How long to be kept in pre-processing layer","Mandatory
Justify data retention ask",Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory - use case lead,Mandatory,Mandatory,Mandatory,Mandatory,Optional,,,,
,,,,,,,,,,,,,,,,,,,Data SLA,,,,,,,,,Governance,,,,,,,,,,
Unique ID,Data Theme,Source System(s),Requirement,Requester,Data Type,Source Schema,"Source Table Name (Structured) / 
Location (for Unstructured Data)",Table Description,Life Cycle / Status,Delivery Date (If Prioritized),Any Technical Debt?,Technical Debt Description,"Feed Type
Global (i.e. Single feed for all entities)
Entity-Wise
Regional (e.g. APAC, EMEA, AMS)",Feed Volume (no. of records & colums OR file size),"Refresh Mechanism
(Delta / Full Load / Full Load Intially & Delta thereafter, etc.)",Source Data Format,Source Data - Period Scope,Filter Logic,Data Cut Required by Business,Data Availability Required by Business,Refresh Frequency,Data Retention,Data Retention Justification,Refresh Data Cut (Implemented),"Data Availability Implemented
(e.g. T+2 1300 GMT)",Refresh Frequency (Implemented),Data Retention (Implemented),Sensitivity,Personal Data,Data Owner / Data SME Agreement Received?,ARF Approval Received?, FTC Approval Received?,ADF Approval Received? ,Tags/Keywords,Notes,,,
FS_032,Reference,MDG (via S4),"Genesis Master, Mapping",Scott,Structured,,ZFIGENESIS,Genesis product table,Prioritized,,No,,,,Full Load,Technology decision,Life to date versions,,1st business day after month end at one second past midnight UK time,As soon as possible after cut-off,Monthly,5 years,,,,,,Internal,No,,,,,Genesis MDG,,,,
FS_032,Reference,MDG (via S4),"Genesis Master, Mapping",Scott,Structured,,ZFIGENESIS_MAP,Genesis Mapping Rules Table,Prioritized,,No,,,,Full Load,Technology decision,Life to date versions,,1st business day after month end at one second past midnight UK time,As soon as possible after cut-off,Monthly,5 years,,,,,,Internal,No,,,,,Genesis MDG,,,,
FS_033,Reference,MDG (via BW),Genesis Hierarchy,Scott,Structured,,Genesis Hierachy table (TBC),Genesis hierachy table,Not Prioritized,,No,,,,Technology decision,Technology decision,Life to date versions,,1st business day after month end at one second past midnight UK time,As soon as possible after cut-off,Monthly,5 years,,,,,,Internal,No,,,,,Genesis MDG,,,,
FS_071,FM/Treasury,FPSL (Murex),FM Trade Level,"Ang, May Yi",Structured,,1) FPSL Instrument data table (for Capital Issuances ISIN level instrument details and balances),Financial Instruments,Not Prioritized, ,No, ,,,Technology decision,Technology decision, ,,,,Daily,Prior Year + YTD,, ,,Daily,Prior Year + YTD,Internal,No,,,,,Genesis CFM,,,,
FS_071,FM/Treasury,FPSL (GPTM),FM Trade Level,"Ang, May Yi",Structured,,1) FPSL Instrument data table (for Capital Issuances ISIN level instrument details and balances),Financial Instruments,Not Prioritized, ,No, ,,,Technology decision,Technology decision, ,,,,Daily,Prior Year + YTD,, ,,Daily,Prior Year + YTD,Internal,No,,,,,Genesis CFM,,,,
FS_071,FM/Treasury,FPSL (Razor),FM Trade Level,"Ang, May Yi",Structured,,1) FPSL Instrument data table (for Capital Issuances ISIN level instrument details and balances),Financial Instruments,Not Prioritized, ,No, ,,,Technology decision,Technology decision, ,,,,Daily,Prior Year + YTD,, ,,Daily,Prior Year + YTD,Internal,No,,,,,Genesis CFM,,,,
FS_064,Consoldiated Financials,BPC,ADB GNONE,Srinivasan,Structured,,"ZFI_FIN_OVER_AFO_CP_ADB
Composite Provider : ZFI_REP01",BPC ADB,Not Prioritized, ,No, ,,,Technology decision,Technology decision, ,,,,Daily,Prior Year + YTD,, ,,Daily,Prior Year + YTD,Internal,No, ,,,,Genesis BSS,,,,
FS_013,Capital,BCRS,RWA and Basel metrics ,Selva,Structured,,T_CDR (Daily RWA),BCRS T_CDR resultant Table ,Live,Dec'25,No,NA,,,Technology decision,Technology decision,,,,,Daily,13 months of monthly data and 8 quarters of data,,,,Daily,13 months of monthly data and 8 quarters of data,Internal,No,,,,,,,,,
FS_013,Capital,BCRS,RWA and Basel metrics ,"
Krishnan, Anantha Narayanan/ G4, Karthikeyan",Structured,,T_CDR (SG/ASA Monthly),BCRS T_CDR resultant Table ,Live,Nov'25,No,NA,,,Technology decision,Technology decision,,,,,Monthly,13 months of monthly data and 8 quarters of data,,,,Monthly,13 months of monthly data and 8 quarters of data,Internal,No,,,,,,,,,
FS_013,Capital,BCRS,RWA and Basel metrics ,"
Krishnan, Anantha Narayanan/ Jeyakumar, Johnson",Structured,,T_CDR (HK/GCNA Monthly),BCRS T_CDR resultant Table ,Live,Nov'25,No,NA,,,Technology decision,Technology decision,,,,,Monthly,13 months of monthly data and 8 quarters of data,,,,Monthly,13 months of monthly data and 8 quarters of data,,No,,,,,,,,,
FS_013,Capital,BCRS,RWA and Basel metrics ,"R1, Kannan",Structured,,T_CDR (Large Exposure Daily),BCRS T_LE resultant Table ,Live,Dec'25,No,NA,,,Technology decision,Technology decision,,,,,Daily,"1 Year end, 2 quarter end, 2 month end and 5 daily data",,,,Daily,"1 Year end, 2 quarter end, 2 month end and 5 daily data",,No,,,,,,,,,
??,Capital,BCRS,RWA and Basel metrics ,"R1, Kannan/Vignesh, Madan",Structured,,T_CDR (Group Monthly),BCRS T_CDR resultant Table ,Prioritized,Apr'26,No,NA,,,Technology decision,Technology decision,,,,,Monthly,13 months of monthly data and 8 quarters of data,,,,Monthly,13 months of monthly data and 8 quarters of data,,No,,,,,,,,,
FS_071,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,/BA1/HFSPD,Core accounting table ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,SCBANK/GCM_CLSG,Counterparty linked attributes for banking,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
