,,Mandatory,Mandatory,Mandatory,Mandatory,``,Mandatory,Mandatory,Mandatory,Mandatory,,
Unique ID,Use Case,Source System(s),"Source Table Name (Structured) / 
Location (for Unstructured Data)",Source Field Name,BTP Staging Schema Name,BTP Table Name, BTP Field Name , Description ,DataType,Date Added / Modified,Reviewed by Data Chapter?,Remarks
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""CONTROL_TABLE""",AS_OF_DATE,STG_BCRS,BSI_REM_CONTROL_TABLE,AS_OF_DATE,,TIMESTAMP,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""CONTROL_TABLE""",CONTEXT,STG_BCRS,BSI_REM_CONTROL_TABLE,CONTEXT,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""CONTROL_TABLE""",REPORTING_DATE,STG_BCRS,BSI_REM_CONTROL_TABLE,REPORTING_DATE,,TIMESTAMP,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""CONTROL_TABLE""",STATUS,STG_BCRS,BSI_REM_CONTROL_TABLE,STATUS,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""DIM_COUNTRY_GEOLOCATION_MAP""",ALPHA_CODE_2,STG_BCRS,BSI_REM_DIM_COUNTRY_GEOLOCATION,ALPHA_CODE_2,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""DIM_COUNTRY_GEOLOCATION_MAP""",ALPHA_CODE_3,STG_BCRS,BSI_REM_DIM_COUNTRY_GEOLOCATION,ALPHA_CODE_3,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""DIM_COUNTRY_GEOLOCATION_MAP""",COUNTRY,STG_BCRS,BSI_REM_DIM_COUNTRY_GEOLOCATION,COUNTRY,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""DIM_COUNTRY_GEOLOCATION_MAP""",FLAG,STG_BCRS,BSI_REM_DIM_COUNTRY_GEOLOCATION,FLAG,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""DIM_COUNTRY_GEOLOCATION_MAP""",LATITUDE,STG_BCRS,BSI_REM_DIM_COUNTRY_GEOLOCATION,LATITUDE,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""DIM_COUNTRY_GEOLOCATION_MAP""",LONGITUDE,STG_BCRS,BSI_REM_DIM_COUNTRY_GEOLOCATION,LONGITUDE,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",ACCRUED_INTEREST,STG_BCRS,BSI_REM_FACT,ACCRUED_INTEREST,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",ADD_ON,STG_BCRS,BSI_REM_FACT,ADD_ON,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",AS_OF_DATE,STG_BCRS,BSI_REM_FACT,AS_OF_DATE,,TIMESTAMP,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",ASSET_CLASS_CATEGORY_NEW,STG_BCRS,BSI_REM_FACT,ASSET_CLASS_CATEGORY_NEW,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",ASSET_CLASS_NEW,STG_BCRS,BSI_REM_FACT,ASSET_CLASS_NEW,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",ASSET_CLASS_ORIGINAL,STG_BCRS,BSI_REM_FACT,ASSET_CLASS_ORIGINAL,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",BIS_ENTITY_TYPE_NEW,STG_BCRS,BSI_REM_FACT,BIS_ENTITY_TYPE_NEW,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",BIS_ENTITY_TYPE_ORIGINAL,STG_BCRS,BSI_REM_FACT,BIS_ENTITY_TYPE_ORIGINAL,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",BIS_PAST_DUE,STG_BCRS,BSI_REM_FACT,BIS_PAST_DUE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",BIS_PRODUCT,STG_BCRS,BSI_REM_FACT,BIS_PRODUCT,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",BIS_PRODUCT_CATEGORY,STG_BCRS,BSI_REM_FACT,BIS_PRODUCT_CATEGORY,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",BOOKING_COMPANY,STG_BCRS,BSI_REM_FACT,BOOKING_COMPANY,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",BOOKING_COMPANY_NAME,STG_BCRS,BSI_REM_FACT,BOOKING_COMPANY_NAME,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",BS_TYPE,STG_BCRS,BSI_REM_FACT,BS_TYPE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",CCF_NON_RETAIL,STG_BCRS,BSI_REM_FACT,CCF_NON_RETAIL,,DECIMAL,,,
