Use Case,Source System(s),"Source Table Name (Structured) / 
Location (for Unstructured Data)",Source Field Name,BTP Schema Name,BTP Table Name, BTP Field Name , Description ,DataType,Date Added / Modified,Reviewed by Data Chapter?,Remarks
,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,CAL_DATE,,DECIMAL,,,
,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,DATE_FILTER,,NVARCHAR,,,
,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,DATE_FILTER_DESC,,NVARCHAR,,,
,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,DATE_TYPE,,NVARCHAR,,,
,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,FILTER_GROUP,,NVARCHAR,,,
,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,FILTER_TYPE,,NVARCHAR,,,
,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,FLAG,,DECIMAL,,,
,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,LTR_DATE,,DECIMAL,,,
,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,TIME_FILTER_DESC,,NVARCHAR,,,
,,,,STG_BCRS,ORMT_SC_DATE_CONFIG,TYPE,,DECIMAL,,,
,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,CAL_DATE,,DECIMAL,,,
,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,CONTEXT,,DECIMAL,,,
,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,DATEKEY,,DECIMAL,,,
,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,SOURCE_TABLE,,NVARCHAR,,,
,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,STATUS,,NVARCHAR,,,
,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,TRANSFORM_TIME_STAMP,,TIMESTAMP,,,
,,,,STG_BCRS,ORMT_SC_SCBI_FCT_TRANSFORM_LOG,TYPE,,DECIMAL,,,
,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,ACTIVE_FLAG,,INTEGER,,,
,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,ARCHIVAL_TABLE,,NVARCHAR,,,
,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,CONFIG_ID,,INTEGER,,,
,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,GROUP_ID,,NVARCHAR,,,
,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,LOAD_TYPE,,NVARCHAR,,,
,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,ORACLE_TABLE,,NVARCHAR,,,
,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,PROJECT,,NVARCHAR,,,
,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,SRC_TABLE,,NVARCHAR,,,
,,,,STG_BCRS,SC_REM_TO_STG_CONFIG,TAR_TABLE,,NVARCHAR,,,
,,,,STG_BCRS,SC_STAGE_LOG,FUNCTION,,NVARCHAR,,,
,,,,STG_BCRS,SC_STAGE_LOG,LOG_ID,,INTEGER,,,
,,,,STG_BCRS,SC_STAGE_LOG,MACHINE,,NVARCHAR,,,
,,,,STG_BCRS,SC_STAGE_LOG,MESSAGE,,NVARCHAR,,,
,,,,STG_BCRS,SC_STAGE_LOG,PROJECT_NAME,,NVARCHAR,,,
,,,,STG_BCRS,SC_STAGE_LOG,REPORTINGDATE,,NVARCHAR,,,
,,,,STG_BCRS,SC_STAGE_LOG,SESSION_ID,,DECIMAL,,,
,,,,STG_BCRS,SC_STAGE_LOG,STATUS,,NVARCHAR,,,
,,,,STG_BCRS,SC_STAGE_LOG,TIMESTAMP,,TIMESTAMP,,,
,,,,STG_BCRS,SC_STAGE_LOG,USERNAME,,NVARCHAR,,,
,,,,STG_BCRS,SC_STAGE_LOG,V_STEP,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_DATE_CONFIG,CAL_DATE,,INTEGER,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_DATE_CONFIG,DATE_FILTER,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_DATE_CONFIG,DATE_FILTER_DESC,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_DATE_CONFIG,DATE_TYPE,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_DATE_CONFIG,FILTER_GROUP,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_DATE_CONFIG,FILTER_TYPE,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_DATE_CONFIG,FLAG,,DECIMAL,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_DATE_CONFIG,LTR_DATE,,INTEGER,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_DATE_CONFIG,TIME_FILTER_DESC,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_DATE_CONFIG,TYPE,,DECIMAL,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,CAL_DATE,,DECIMAL,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,CONTEXT,,DECIMAL,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,DATEKEY,,DECIMAL,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,SOURCE_TABLE,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,STATUS,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,STG1_STATUS,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,STG1_TIME_STAMP,,TIMESTAMP,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,STG2_STATUS,,NVARCHAR,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,STG2_TIME_STAMP,,TIMESTAMP,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,TRANSFORM_TIME_STAMP,,TIMESTAMP,,,
,,,,STG_BCRS,SC_STG_ORMT_SC_SCBI_FCT_TRANSFORM_LOG,TYPE,,DECIMAL,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,COB_DATE,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,COUNT,,INTEGER,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,CURRENT_TIME_STAMP,,TIMESTAMP,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,EXECUTION_TIME,,INTEGER,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,FUNCTION,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,HOSTNAME,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,LAYER,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,LOG_ID,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,LOG_MESSAGE,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,MESSAGE,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,RUN_METHOD,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,SCHEDULE,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,SESSION_ID,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,SOURCE_NAME,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,STATUS,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,TABLE_NAME,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,USECASE,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,USERNAME,,NVARCHAR,,,
,,,,STG_BCRS,TBL_PHY_RUN_LOG,V_STEP,,NVARCHAR,,,
,,,,STG_BCRS,TBL_RP_STGBCRS_LOG,CALL_PARM,,NVARCHAR,,,
,,,,STG_BCRS,TBL_RP_STGBCRS_LOG,END_TIME,,TIMESTAMP,,,
