COLUMN,DESCRIPTION,LONG DESCRIPTION
GLB_ASSET_CLASS_2,"Asset class, security's product type","- Asset class: A category of investments that share similar traits and perform in similar ways, like stocks or bonds.
- Asset-Backed Securities (ABS): Securities supported by A group of underlying assets, like mortgages, car loans, or credit card debts.
- Bank Senior Paper: Bank sector Debt that takes priority over other unsecured or subordinated debt in case of bankruptcy or liquidation, usually offering lower interest rates because of the reduced risk.
- Corporate Bonds:  Corporate securities with no fixed maturity date, often paying a fixed coupon indefinitely unless called by the issuer.
- Covered bonds:  securities backed by a group of assets, usually mortgages. This provides extra protection for bondholders if the issuer fails to pay.
 -Government Bonds (FCY):  securities issued by governments, typically used to finance government spending or infrastructure projects.
- Short Term Bank Paper:  Certificates of Deposit (CD) and Commercial Paper (CP) are short-term debt instruments issued by banks and corporations, respectively, to raise funds.
 -Supra / Quasi / Agency: Supranationals - International organizations such as the World Bank or International Monetary Fund (IMF) that issue debt securities to fund development projects or provide financial assistance to member countries, Agencies / Quasi Govt:  Securities issued by government-sponsored enterprises or quasi-governmental organizations, often considered to have implicit government backing.
- Treasury Bills & Central Bank CD:  Short-term debt instruments issued by governments or central banks, typically with maturities ranging from a few days to one year, used to finance government operations or manage liquidity in the banking system."
GLB_COUPON_TYPE,"Coupon types are grouped under two major categories in a dataset: float (FLOATING, FLOATING ABS) and fixed (FIXED, FIXED ABS, PAY-IN-KIND, STEP CPN, VARIABLE, ZERO COUPON) ","If the following word is used in prompt: float - then filter for FLOATING, FLOATING ABS in GLB_COUPON_TYPE column.
If the following word is used in prompt: fixed - then filter for all the other coupon types different than FLOATING and FLOATING ABS.
If the words from column GLB_COUPON_TYPE are used in prompt with upper case then filter for their exact values in GLB_COUPON_TYPE column.

In finance, a coupon is the interest payment received by a security's owner from the issue date until the maturity date of a security. There are several secuties' categories from a coupon type perspective – fixed and floating rate securities and there is a special type of fixed-rate security, a zero-coupon bond.
Unlike a fixed-rate security, in a floating rate security, the next coupon can be higher or lower than the previous coupon.
Treat FLOATING and FLOATING ABS as floating, other coupon types as fixed."
GLB_CUSIP,"cusip, security ID","A CUSIP (Committee on Uniform Securities Identification Procedures) is a nine-character numeric or alphanumeric code that uniquely identifies a financial security for the purposes of facilitating clearing and settlement of trades. All CUSIP identifiers are fungible, which means that a unique CUSIP identifier for each individual security stays the same, regardless of the exchange where the shares were purchased or the venue on which the shares were traded."
GLB_INSTRUMENT,"instrument description, bloomberg ticker","In finance, a ticker symbol is a unique set of letters that identifies a specific stock or financial instrument. It is shown on the stock exchange's ticker tape, which displays real-time price changes of stocks as they are traded."
GLB_ISIN,"ISIN, security ID","An International Securities Identification Number (ISIN) is a 12-character alphanumeric code that uniquely identifies a security worldwide. It helps in clearing, reporting, and settling trades. The structure of the ISIN code is defined in ISO 6166 and ensures consistent identification of a security by standardizing the assigned National Number during trading and settlement."
GLB_FINAL_CCY,"Currency, CCY",The currency of the security
GLB_FINAL_COUNTRY_NAME,"Country, Booking Country","The country where the security transaction is booked or recorded in the financial records. For example: Taiwan (TW), Hong Kong (HK), United Kingdom (UK or GB), United States of America (US or USA), United Arab Emirates (AE or UAE)."
GLB_FV_HTC,"FVOCI (fair value), HTC (amortizing) - accounting treatment type","Accounting Treatment Types:

FVOCI (Fair Value Through Other Comprehensive Income):
Fair value through other comprehensive income (FVOCI) is an accounting treatment used for certain financial assets. Under FVOCI, the assets are initially recorded at fair value, and changes in fair value are recognized in other comprehensive income (OCI) rather than in the income statement.

HTC (Held-to-Collect):
Held-to-collect (HTC) is an accounting treatment for financial assets that are intended to be held until maturity. These positions are recorded at amortized cost, and their market value is not shown in the financial statements."
GLB_GLOBAL_REGION,Region,Geographical region of trades booking country.
GLB_HIGH_LVL_STRATEGY,Strategy - purpose of portfolio,"It's a purpose of the portfolio. Portfolio strategies: Structural Hedging, Other, MREL, Regulatory, Fair Value"
