,,,,,,,
,S No.,Model,Field type,COLUMN,DESCRIPTION,Meanings,LONG DESCRIPTION
,1,Net Zero Model,Measures,EMIINTAL,Asset Intensity,"Emission Intensity by Asset, 
Asset Intensity",Physical Intensity Asset Level
,2,Net Zero Model,Measures,EMIINTAT,Asset Type Physical Intensity,"Emission Intensity by Asset Type, 
Asset Type Intensity",Physical Intensity Asset Type
,3,Net Zero Model,Measures,ATT_PROD,Attributed Production,Attributed Production,Production attributed to bank's lending and investing activity. Expressed in unit of production or equivalent
,4,Net Zero Model,Measures,ATTR_FACTOR,Attribution Factor,Attribution Factor,The share of total GHG emissions of the borrower that are allocated to the loan or investments
,5,Net Zero Model,Measures,PCAF_S12_SC,Client PCAF Score for Scope 1 & 2,PCAF score client Scope 1&2,Scope 1&2 PCAF score at client level
,6,Net Zero Model,Measures,PCAFS3SC,Client PCAF Score for Scope 3,PCAF score client Scope 3,Scope 3 PCAF score at client level
,7,Net Zero Model,Measures,EMI_INTENSITY_CP,Client Physical Intensity,"Client emission intensity, 
Client intenstiy",Physical Emission Intensity at client level
,8,Net Zero Model,Measures,EVIC,EVIC,"Enterprise Value including Cash , 
Total Enterprise Value, 
Company Value",Company Value
,9,Net Zero Model,Measures,PE_ASS,Exposure,"Drawn commitment, PE Asset, outstanding balance, loan-outstanding amount, outstanding amount",Represents the client's asset exposure (drawn amount) at the reporting period
,10,Net Zero Model,Measures,ATT_EMI,Financed Emission,"Attributed emission, 
Absolute emission",Emissions attributed to bank's lending and investing activity. Expressed in tonnes CO2e.
,11,Net Zero Model,Measures,FEMISSSION_S12,Financed Emission Scope 1 & 2,"Attributed emission S1&2, 
Absolute emission S1&2",The share of Scope 1&2 GHG emissions of the borrower that are allocated to the loan or investments
,12,Net Zero Model,Measures,F_EMISSION_S3,Financed Emission Scope 3,"Attributed emission S3, 
Absolute emission S3",The share of Scope 3 GHG emissions of the borrower that are allocated to the loan or investments
,13,Net Zero Model,Measures,RWAASSTR,RWA,Risk Weighted Assets,Risk Weighted Asset(RWA) (Transactional Level)
,14,Net Zero Model,Measures,TRYTDTR,Revenue,"SCB Revenue, 
Income, 
YTD Revenue",-
,15,Net Zero Model,Measures,RAHDR,Risk Appetite Headroom,RA Headroom,RA Headroom
,16,Net Zero Model,Measures,TRAABS,Risk Appetite Threshold,RA Threshold,Risk Appetite Margin
,17,Net Zero Model,Measures,ESCHRD,Risk Escalation Headroom,RE Headroom,-
,18,Net Zero Model,Measures,TREABS,Risk Escalation Threshold,RE Threshold,-
,19,Net Zero Model,Measures,WPCAFS12SC,Sector PCAF Score for Scope 1 & 2,PCAF score sector Scope 1&2,-
,20,Net Zero Model,Measures,WPCAFS3SC,Sector PCAF Score for Scope 3,PCAF score setor Scope 3,-
,21,Net Zero Model,Measures,EMI_INTENSITY,Sector wise Physical Intensity,"Portfolio Intensity, 
Sector intensity",Physical Emission Intensity at sector level
,22,Net Zero Model,Measures,EMIINTPL,Ultimate Parent Physical Intensity,"Emission Intensity by Parent, 
Parent Intensity",-
,23,Net Zero Model,Dimension,ASSID,Asset ID,"IMO number, Vessel number, MSN",Vessel ID or Building ID in shipping or CRE sector respectively
,24,Net Zero Model,Dimension,ASSNAME,Asset Name,Vessel Name,Name of the vessel or building
,25,Net Zero Model,Dimension,ASSTY,Asset Type,"Technology type, 
Vessel Type, 
Aircraft type, 
Building type",Type of the vessel or building
,26,Net Zero Model,Dimension,BEBOOKINGLOCID,Booking location,Booking Country,-
,27,Net Zero Model,Dimension,CD_LOCATION,Client Domicile Location,Client Domicile - Location,Client domicile per SCI
,28,Net Zero Model,Dimension,C_SSEG_ID,Client Segment Hierarchy,Client Sub Segment ID,This attribute denotes the ID of the Client Sub Segment
,29,Net Zero Model,Dimension,C_SSEG_ID_1,Client Sub Segment Level 5 ID,-,This displays the business segment which manages the client across to the level L5.
,30,Net Zero Model,Dimension,L_CRG,Credit Grade,"Credit Rating, Latest CRG",Latest Credit Grade
,31,Net Zero Model,Dimension,Sector_Flag,Intensity Based Sector,Physical intensity based sector,-
,32,Net Zero Model,Dimension,LE_NAME,LE Name,"Legal Entity Name, Client Name, LE - Name",Client name of company that borrows money from bank
,33,Net Zero Model,Dimension,LE_ID,LEID,"Legal Entity ID , Client ID. LE ID",Client ID of company that borrows money from bank
,34,Net Zero Model,Dimension,Management_Prod_Hier,Management Product Hierarchy,"Product level, 
Product Hierarchy",This provides drills down across all 7 levels of the Product Management Hierarchy.
,35,Net Zero Model,Dimension,MB_DES,Maturity Bucket,Loan maturity bucket,Bucketing of products by maturity (in days)
,36,Net Zero Model,Dimension,EUNIT,Measurement Unit,"Carbon metric unit, Unit",Unit of emissions or intensity
,37,Net Zero Model,Dimension,DD_SEC,Net Zero Sector,"High Carbon Sector, Deep Dive Sector",Sector for which the emissions are calculated
,38,Net Zero Model,Dimension,CLGRD,NZ Alignment Grading,-,-
,39,Net Zero Model,Dimension,CALMONTH,Period,"Reporting Period, 
Reporting Month, 
Reporting Date",This attribute denotes the reporting day expressed in YYYYMMDD format
,40,Net Zero Model,Dimension,FoL_Location,Revised FAM Location,-,This represents the FAM Location based on the 'Revised FAM Location' attribute in PMI
,41,Net Zero Model,Dimension,Group_View,Shipping Normalised View,NZ Shipping scenarios,-
