Attributes,Description
COST_CLUSTER (L0),"This column represents the highest level of cost categorization, capturing broad organizational divisions such as Business Services (BSC), Corporate and Institutional Banking (CIB), Functions, Ventures, and Wealth and Retail Banking (WRB). It serves as the primary grouping for financial tracking, providing a macro view of cost allocation across major segments of the organization. This level is crucial for understanding the overall financial structure and resource distribution across the company's key areas."
COST_CLUSTER (L1),"This column provides a secondary layer of cost categorization, breaking down the L0 categories into more specific sections such as Operations, Management, Client Coverage, and Transaction Services. It further segments the broad categories into distinct operational areas, allowing for a finer analysis of cost distribution. This level is essential for identifying specific departments or functions within the larger organizational divisions, such as Banking, CPM (Capital and Portfolio Management), and Markets."
COST_CLUSTER (L2),"This column offers a third layer of categorization, detailing the L1 sections into sub-categories like Corporate, FI (Financial Institutions), SAS (Sustainable Advisory Services), and Markets. It breaks down the L1 categories into specialized units or functions, which can include particular projects or operational activities. This level is useful for detailed financial analysis and for pinpointing cost drivers within specific segments of the organization, such as M&A (Mergers and Acquisitions) and S&FR (Syndicate & Frisk)."
COST_CLUSTER (L3),"This column offers a third layer of categorization, detailing the L1 sections into sub-categories. This column represents a detailed categorization of costs within specific business areas or functions, such as BSC Others, Capital Markets, M&A, and CIB. It includes various operational segments like Banking Others, Financing Solutions, Infrastructure Development & Finance Group, and Transportation Finance. This level serves as a primary grouping for financial tracking, focusing on distinct operational activities or business units within the organization. It is crucial for understanding the allocation of resources across different segments, providing insights into specific areas like Syndicate & Frisk, CFD, CPM, and various corporate and client coverage functions."
COST_CLUSTER (L4),"This column provides further segmentation of the L3 categories, breaking them down into more specific sub-categories such as Biz BSC Oth Global Biz Rech - CIB, SPC Global Banking CM Regional Country, and SPC Global Banking DCM CM Solutions. It includes detailed areas like Biz COI Bank Levy, Cntry GSF CEO Others, and various management and operational functions within CIB and other divisions. This level helps in identifying particular projects, functions, or specialized units within the broader L3 categories, allowing for a finer analysis of cost distribution and operational focus areas.
"
COST_CLUSTER (L5),"The most granular level of cost categorization, this column offers the finest breakdown of costs, often down to individual projects, initiatives, or specific operational activities such as SPC Global Banking CM Syndicate Bonds, SPC Private RMs, and SPC TB Cash Product Account Services. It covers a wide range of specific functions, including detailed project management, financial markets operations, client management, and various specialized financial services. This level is critical for precise tracking and management of financial resources, enabling organizations to monitor and control costs at the most detailed level, ensuring comprehensive coverage of cost allocation across all operational and strategic areas.
"
COSTCLUSTER_CRD_INDICATOR,"This column categorizes data according to different business views, such as Corporate and Institutional Banking (CIB), Wealth and Retail Banking (WRB), and Financial Planning and Analysis (FPNA). It enables users to analyze data from various perspectives, aligning with specific business needs and strategies."
COSTCLUSTER_PK,Primary key for this dimension. Its defined by concatenating of all other attributes in the dimension
,
,
,
