PRODUCT (L0),PRODUCT (L1),PRODUCT (L2),PRODUCT (L3),PRODUCT (L4),PRODUCT_CRD_INDICATOR,PRODUCT_PK
Banking,Banking Others,Banking Input,Banking Input,Banking Input,FPNA,;L0Banking;L1Banking Others;L2Banking Input;L3Banking Input;L4Banking Input;
Banking,Banking Others,Banking Others,Banking Others,Banking Input,CIB,;L0Banking;L1Banking Others;L2Banking Others;L3Banking Others;L4Banking Input;
Banking,Banking Others,Banking Others,Banking Others,Banking Transfer Pricing,CIB,;L0Banking;L1Banking Others;L2Banking Others;L3Banking Others;L4Banking Transfer Pricing;
Banking,Banking Others,Banking Transfer Pricing,Banking Transfer Pricing,Banking Transfer Pricing,FPNA,;L0Banking;L1Banking Others;L2Banking Transfer Pricing;L3Banking Transfer Pricing;L4Banking Transfer Pricing;
Banking,Capital Market & Advisory,Advisory,Advisory Inp,Advisory Inp,FPNA,;L0Banking;L1Capital Market & Advisory;L2Advisory;L3Advisory Inp;L4Advisory Inp;
Banking,Capital Market & Advisory,Advisory,ESG Advisory,ESG Advisory,FPNA,;L0Banking;L1Capital Market & Advisory;L2Advisory;L3ESG Advisory;L4ESG Advisory;
Banking,Capital Market & Advisory,Advisory,M&A Advisory,Clean Tech & Environment,FPNA,;L0Banking;L1Capital Market & Advisory;L2Advisory;L3M&A Advisory;L4Clean Tech & Environment;
Banking,Capital Market & Advisory,Advisory,M&A Advisory,Diversified Industries,FPNA,;L0Banking;L1Capital Market & Advisory;L2Advisory;L3M&A Advisory;L4Diversified Industries;
Banking,Capital Market & Advisory,Advisory,M&A Advisory,Metals & Mining,FPNA,;L0Banking;L1Capital Market & Advisory;L2Advisory;L3M&A Advisory;L4Metals & Mining;
Banking,Capital Market & Advisory,Advisory,M&A Advisory,Oil & Gas,FPNA,;L0Banking;L1Capital Market & Advisory;L2Advisory;L3M&A Advisory;L4Oil & Gas;
Banking,Capital Market & Advisory,Capital Markets,CM CMS,CM CMS ABS Structured,FPNA,;L0Banking;L1Capital Market & Advisory;L2Capital Markets;L3CM CMS;L4CM CMS ABS Structured;
Banking,Capital Market & Advisory,Capital Markets,CM DCM,Bond Syndicate,FPNA,;L0Banking;L1Capital Market & Advisory;L2Capital Markets;L3CM DCM;L4Bond Syndicate;
