ACCOUNT,ACCOUNT (L0),ACCOUNT (L1),ACCOUNT (L2),ACCOUNT (L3),ACCOUNT (L4),ACCOUNT (L5),ACCOUNT_CRD_INDICATOR,ACCOUNT_PK
AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,CIB,;L0AD Ratio;L1AD Ratio;L2AD Ratio;L3AD Ratio;L4AD Ratio;L5AD Ratio;
AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,FPNA,;L0AD Ratio;L1AD Ratio;L2AD Ratio;L3AD Ratio;L4AD Ratio;L5AD Ratio;
AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,MOH,;L0AD Ratio;L1AD Ratio;L2AD Ratio;L3AD Ratio;L4AD Ratio;L5AD Ratio;
AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,AD Ratio,WRB,;L0AD Ratio;L1AD Ratio;L2AD Ratio;L3AD Ratio;L4AD Ratio;L5AD Ratio;
AT1 Dividend,AT1 Dividend,AT1 Dividend,AT1 Dividend,AT1 Dividend,AT1 Dividend,AT1 Dividend,FPNA,;L0AT1 Dividend;L1AT1 Dividend;L2AT1 Dividend;L3AT1 Dividend;L4AT1 Dividend;L5AT1 Dividend;
Accruals,Non-Group Liabilities,Funded Liabilities,Non-Grp Liabs Other,Accruals,Accruals,Accruals,FPNA,;L0Non-Group Liabilities;L1Funded Liabilities;L2Non-Grp Liabs Other;L3Accruals;L4Accruals;L5Accruals;
Accrued Income,Non-Group Assets,Funded Assets,Non-Grp Assets Other,Accrued Income,Accrued Income,Accrued Income,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Non-Grp Assets Other;L3Accrued Income;L4Accrued Income;L5Accrued Income;
Acquired Intangibles,Non-Group Assets,Funded Assets,Goodwill & Intangibles,Acquired Intangibles,Acquired Intangibles,Acquired Intangibles,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Goodwill & Intangibles;L3Acquired Intangibles;L4Acquired Intangibles;L5Acquired Intangibles;
Adjustments in Respect of Prior Year - Tax Charge,Fin Tax,Fin Tax,Fin Tax,Fin Tax,Fin Tax,Adjustments in Respect of Prior Year - Tax Charge,FPNA,;L0Fin Tax;L1Fin Tax;L2Fin Tax;L3Fin Tax;L4Fin Tax;L5Adjustments in Respect of Prior Year - Tax Charge;
Adjustments in Respect of Prior Years - Curr Tax,Fin Tax,Fin Tax,Fin Tax,Fin Tax,Fin Tax,Adjustments in Respect of Prior Years - Curr Tax,FPNA,;L0Fin Tax;L1Fin Tax;L2Fin Tax;L3Fin Tax;L4Fin Tax;L5Adjustments in Respect of Prior Years - Curr Tax;
Adjustments in Respect of Prior Years - Deff Tax,Fin Tax,Fin Tax,Fin Tax,Fin Tax,Fin Tax,Adjustments in Respect of Prior Years - Deff Tax,FPNA,;L0Fin Tax;L1Fin Tax;L2Fin Tax;L3Fin Tax;L4Fin Tax;L5Adjustments in Respect of Prior Years - Deff Tax;
Advertising,Total Cost,Directly Controllable Costs,Non Staff Costs,"Marketing, Adv & Sponsor","Marketing, Adv & Sponsor",Advertising,FPNA,";L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Marketing, Adv & Sponsor;L4Marketing, Adv & Sponsor;L5Advertising;"
Advertising,Total Cost,Incurred Cost,Controllable Cost,Other Direct Costs,Advertising,Advertising,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Other Direct Costs;L4Advertising;L5Advertising;
Advertising,Total Cost,Incurred Cost,Direct Manageable Costs,Marketing Advert & Sponsorships,Advertising,Advertising,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Marketing Advert & Sponsorships;L4Advertising;L5Advertising;
Affluent CA Employee Banking,Total Cost,Intra WRB,Affluent Managed,Affluent Management,Affluent CA Employee Banking,Affluent CA Employee Banking,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Management;L4Affluent CA Employee Banking;L5Affluent CA Employee Banking;
Affluent CA Employee Banking,Total Cost,Service Charge,Affluent Managed,Affluent Management,Affluent CA Employee Banking,Affluent CA Employee Banking,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Management;L4Affluent CA Employee Banking;L5Affluent CA Employee Banking;
Affluent Client Value Prop CVP,Total Cost,Intra WRB,Affluent Managed,Affluent Management,Affluent Client Value Prop,Affluent Client Value Prop CVP,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Management;L4Affluent Client Value Prop;L5Affluent Client Value Prop CVP;
Affluent Client Value Prop CVP,Total Cost,Service Charge,Affluent Managed,Affluent Management,Affluent Client Value Prop,Affluent Client Value Prop CVP,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Management;L4Affluent Client Value Prop;L5Affluent Client Value Prop CVP;
Affluent Corp Partnership Mgt,Total Cost,Intra WRB,Affluent Managed,Affluent Management,Affluent Corp Partnership Mgt,Affluent Corp Partnership Mgt,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Management;L4Affluent Corp Partnership Mgt;L5Affluent Corp Partnership Mgt;
Affluent Corp Partnership Mgt,Total Cost,Service Charge,Affluent Managed,Affluent Management,Affluent Corp Partnership Mgt,Affluent Corp Partnership Mgt,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Management;L4Affluent Corp Partnership Mgt;L5Affluent Corp Partnership Mgt;
Affluent Income %,Affluent Income %,Affluent Income %,Affluent Income %,Affluent Income %,Affluent Income %,Affluent Income %,WRB,;L0Affluent Income %;L1Affluent Income %;L2Affluent Income %;L3Affluent Income %;L4Affluent Income %;L5Affluent Income %;
Affluent Management MGT,Total Cost,Intra WRB,Affluent Managed,Affluent Management,Affluent Management MGT,Affluent Management MGT,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Management;L4Affluent Management MGT;L5Affluent Management MGT;
Affluent Management MGT,Total Cost,Service Charge,Affluent Managed,Affluent Management,Affluent Management MGT,Affluent Management MGT,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Management;L4Affluent Management MGT;L5Affluent Management MGT;
Affluent Prods COB Branch Ops,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods COB Branch Ops,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods COB Branch Ops;
