COSTCLUSTER_CRD_INDICATOR,COSTCLUSTER_PK,COST_CLUSTER (L0),COST_CLUSTER (L1),COST_CLUSTER (L2),COST_CLUSTER (L3),COST_CLUSTER (L4),COST_CLUSTER (L5)
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3Banking Others;L4Banking Others;L5Globally Managed;,CIB,Banking,GCM ex FRisk,Banking Others,Banking Others,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3Capital Markets;L4CM Regional;L5Globally Managed;,CIB,Banking,GCM ex FRisk,Capital Markets,CM Regional,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3Capital Markets;L4CM Syndicate;L5Globally Managed;,CIB,Banking,GCM ex FRisk,Capital Markets,CM Syndicate,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3Capital Markets;L4DCM;L5Globally Managed;,CIB,Banking,GCM ex FRisk,Capital Markets,DCM,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3Financing Solutions;L4Financing Solutions;L5Globally Managed;,CIB,Banking,GCM ex FRisk,Financing Solutions,Financing Solutions,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3Infrastructure Development & Finance Grp;L4Infrastructure Development & Finance Grp;L5Globally Managed;,CIB,Banking,GCM ex FRisk,Infrastructure Development & Finance Grp,Infrastructure Development & Finance Grp,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3Leveraged & Acquisition Finance;L4Leveraged & Acquisition Finance;L5Globally Managed;,CIB,Banking,GCM ex FRisk,Leveraged & Acquisition Finance,Leveraged & Acquisition Finance,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3SPC CF Group Projects;L4SPC CF Group Projects;L5Globally Managed;,CIB,Banking,GCM ex FRisk,SPC CF Group Projects,SPC CF Group Projects,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3SPC FM CRE;L4SPC FM CRE;L5Globally Managed;,CIB,Banking,GCM ex FRisk,SPC FM CRE,SPC FM CRE,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3SPC FM Fund Finance;L4SPC FM Fund Finance;L5Globally Managed;,CIB,Banking,GCM ex FRisk,SPC FM Fund Finance,SPC FM Fund Finance,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3SPC Global Banking Equity Cap Mkts;L4SPC Global Banking Equity Cap Mkts;L5Globally Managed;,CIB,Banking,GCM ex FRisk,SPC Global Banking Equity Cap Mkts,SPC Global Banking Equity Cap Mkts,Globally Managed
